Application No.,First Name,Lase Name,Gender,DOB,Acadamic Year,Class,Section,Roll NO,Register No,Student Type,Father's / Guardians Name,Student Email Id,Parent's / Guardians Mob No,Alternate Mobile No,Emergency Contact No,Address,City,State,Country,Postal Code,joining date,password,Scholarship,Chat Option,First Graduate
1001,Sabna,S,Female,20-03-1994,2017 - 2018,First Standard,A,STD2001,2001,Counselling,Jhon,sabna@gmail.com,9965364979,9632587412,123654789,test test,xxxx,Tamil nadu,India,123456,20-03-2000,1234,yes,yes,yes
1002,Mohaseen,M,Male,20-03-1994,2017 - 2018,First Standard,A,STD2002,2002,Counselling,peter,mohaseen@gmail.com,9994871801,8951236447,2323443443,test test,xxxx,Tamil nadu,India,123456,20-03-2000,1234,yes,yes,yes
1003,Priya,P,Female,20-03-1995,2017 - 2018,First Standard,A,STD2003,2002,Management,jo,priya@gmail.com,8588278955,8951236447,123654789,test test,xxxx,Tamil nadu,India,123456,20-03-2000,1234,yes,yes,yes
1004,Ben,B,Male,20-03-1995,2017 - 2018,First Standard,A,STD2004,2003,Counselling,bright,ben@gmail.com,4343444232,8951236447,123654789,test test,xxxx,Tamil nadu,India,123456,20-03-2000,1234,yes,yes,yes
1005,Jackob,J,Male,20-03-1995,2017 - 2018,First Standard,A,STD2005,2004,Management,cap,jackob@gmail.com,1236698454,8951236447,123654789,test test,xxxx,Tamil nadu,India,123456,20-03-2000,1234,yes,yes,yes
1006,Dora,D,Female,20-03-1995,2017 - 2018,First Standard,A,STD2006,2005,Counselling,mark,dora@gmail.com,3123654789,8951236447,123654789,test test,xxxx,Tamil nadu,India,123456,20-03-2000,1234,yes,yes,yes
1007,Gwen,G,Female,20-03-1995,2017 - 2018,First Standard,A,STD2007,2006,Management,tom,gwen@gmail.com,9994871801,4343444232,123654789,test test,xxxx,Tamil nadu,India,123456,20-03-2000,1234,yes,yes,yes
1008,Vicky,V,Male,20-03-1995,2017 - 2018,First Standard,A,STD2008,2007,Counselling,jack,vicky@gmail.com,9694871801,1236698454,123654789,test test,xxxx,Tamil nadu,India,123456,20-03-2000,1234,yes,yes,yes
1009,Shaik,S,Male,20-03-1995,2017 - 2018,First Standard,A,STD2009,2008,Management,Edward,shaik@gmail.com,9984871801,4343444232,123654789,test test,xxxx,Tamil nadu,India,123456,20-03-2000,1234,yes,yes,yes
1010,Bala,B,Male,20-03-1995,2017 - 2018,First Standard,A,STD20010,2009,Counselling,Robert,bala@gmail.com,9904871801,4343444232,123654789,test test,xxxx,Tamil nadu,India,123456,20-03-2000,1234,yes,yes,yes
1011,Anandh,A,Male,20-03-1995,2017 - 2018,First Standard,A,STD20011,2010,Management,Harry,anandh@gmail.com,9964464979,4343444232,123654789,test test,xxxx,Tamil nadu,India,123456,20-03-2000,1234,yes,yes,yes
1012,Vijay,V,Male,20-03-1995,2017 - 2018,First Standard,A,STD20012,2011,Counselling,Mary,vijay@gmail.com,4556635333,4343444232,123654789,test test,xxxx,Tamil nadu,India,123456,20-03-2000,1234,yes,yes,yes
1013,Bala Murugan,B,Male,20-03-1995,2017 - 2018,First Standard,A,STD20013,2012,Management,Joy,balamurugan@gmail.com,5965164979,4343444232,123654789,test test,xxxx,Tamil nadu,India,123456,20-03-2000,1234,yes,yes,yes
1014,Adhil,A,Male,20-03-1995,2017 - 2018,First Standard,A,STD20014,2013,Counselling,rose,adhil@gmail.com,9965164979,4343444232,123654789,test test,xxxx,Tamil nadu,India,123456,20-03-2000,1234,yes,yes,yes
1015,Ela,E,Male,20-03-1995,2017 - 2018,First Standard,A,STD20015,2014,Management,happy,ela@gmail.com,9565164979,4343444232,123654789,test test,xxxx,Tamil nadu,India,123456,20-03-2000,1234,yes,yes,yes
