Application No.,First Name,Lase Name,Gender,DOB,Acadamic Year,Class,Section,Roll NO,Register No,Student Type,Father's / Guardians Name,Student Email Id,Parent's / Guardians Mob No,Alternate Mobile No,Emergency Contact No,Address,City,State,Country,Postal Code,joining date,password,Scholarship,Chat Option,First Graduate
1001,Aadarshini,D,Female,20-03-1994,2017 - 2018,First Standard,A,STD2001,2001,Counselling,Divagar,aadharsh99@gmail.com,9022 438 8345,9022 438 8346,9022 438 8347,"306 Sree Gokulam Towers, 100 Feet Road, Above HDFC BANK, Gandipuram, Coimbatore, Tamil Nadu 641012",Coimbatore,Tamil nadu,India,641012,20-03-2000,12345,yes,yes,Yes
1002,Aadhya,H,Female,20-03-1994,2017 - 2018,First Standard,A,STD2002,2002,Management,Harish,"Aadhya123@gmail,com",096988 77786,096988 77787,9022 438 8348,"100, 4th St, Gandhipuram, Coimbatore, Tamil Nadu 641012",Coimbatore,Tamil nadu,India,641012,20-03-2000,12345,yes,yes,Yes
1003,Aahna,I,Female,20-03-1994,2017 - 2018,First Standard,A,STD2003,2003,Counselling,Indirajith,Aahna1994@gmail.com,74483 11111,74483 11112,74483 11113,"Sony Mobile Service Center In Coimbatore 127-27 Opp Sri Krishna Sweet Dp Road, R.S. Puram, Coimbatore, Tamil Nadu 641027",Coimbatore,Tamil nadu,India,641027,20-03-2000,12345,yes,yes,no
1003,Aamaal,M,Female,20-03-1993,2016 - 2017,Second Standard,B,STD2004 ,2004,Counselling,Madhan Kumar,Aamaal11@gmail.com,97875 88111,97875 88112,97875 8813,"35-B, Binary Service, 10th Street, Behind Malabar gold & diamonds, Gandhipuram",Coimbatore,Tamil nadu,India,641012,20-03-2000,12345,yes,yes,no
1004,Aamani,J,Female,20-03-1994,2017 - 2018,First Standard,A,STD2005,2005,Counselling,Jhon,Aamani123@gmail.com,095972 28949,095972 28941,095972 28940,"340. 6th (cross)street, Cross Cut Rd, Gandhipuram",Coimbatore,Tamil nadu,India,641012,20-03-1999,12345,Yes,Yes,no
1005,Abilasha,K,Female,20-03-1993,2016 - 2017,Second Standard,C,STD2006,2006,Management,Kathirvel,abilasha123@gmail.com,077929 87571,077929 87570,077929 87572,"90/186 Near Reliance Mobile Store,100 Feet Road",Coimbatore,Tamil nadu,India,641012,20-03-1999,12345,Yes,Yes,no
1006,Adya,N,Female,20-03-1992,2015 - 2016,Third Standard,D,STD2007,2007,Management,Nanda,adya123@gmail.com,97913 27243,97913 27242,97913 27245,"harmony building, Lenovo Mobile Service Center Coimbatore 425/120 first floor, Diwan Bahadur Rd, Opp Icic Bank",Coimbatore,Tamil nadu,India,641012,20-03-1999,12345,Yes,Yes,no
1007,Aadit,J,Male,20-03-1992,2015 - 2016,Third Standard,A,STD2008,2008,Management,Jeyaram,aadit123@gmail.com,96771 48178,96771 48176,97913 27245,"21, Jawaharlal Nehru Rd, Ottagapalayam, Kannika Puram, Vadapalani, Chennai, Tamil Nadu 600026",Chennai,Tamil nadu,India,641012,20-03-1999,12345,Yes,Yes,no
1008,Advay,P,Male,20-03-1994,2015 - 2016,First Standard,A,STD2009,2009,Management,Praveen,Advay@gmail.com,098401 11124,098401 11126,098401 11125,"No 78/60, Shop no S1, Ground floor, (Near Indian bank bus stop), Arya Gowda Rd, West Mambalam, Chennai, Tamil Nadu 600033",Chennai,Tamil nadu,India,641012,20-03-1999,12345,Yes,Yes,no
1009,Aarav,L,Male,20-03-1994,2015 - 2016,First Standard,B,STD2010,2010,Counselling,Lioril,Aaralio@gmail.com,095661 66048,098401 11123,098401 11122,"New Old: 35c, near vinayagar koil,, 85, Kodambakkam High Road, Chennai, Tamil Nadu 600034",Chennai,Tamil nadu,India,641012,20-03-1999,12345,Yes,Yes,no
10010,Akshan,A,Male,20-03-1991,2014 - 2015,Fourth Standard,C,STD2011,2011,Management,Anand,Akshananand@gmail.com,95661 66046,098401 11121,098401 11177,"New Old: 35c, near vinayagar koil,, 85, Kodambakkam High Road, Chennai, Tamil Nadu",Chennai,Tamil nadu,India,641012,20-03-1999,12345,Yes,Yes,no
10011,Bhuvith,B,Male,20-03-1991,2013 - 2014,Fivth Standard,D,STD2012,2012,Counselling,Balu,Bhuvith99@gmail.com,944 4006 5006,944 4006 5001,944 4006 5011,"No W-104, 2nd Avenue, Near Roundtana, Next to Mcdonal'd, Anna Nagar, Chennai, Tamil Nadu 600040",Chennai,Tamil nadu,India,641012,20-03-1999,12345,Yes,Yes,no
10012,Chaitan,T,Male,20-03-1990,2012 - 2013,Sixth Standard,A,STD2013,2013,Management,Tamil Arasu,Chaitan@gmail.com,90038 73746,944 4006 5011,944 4006 5012,"12/20, kanndasan salai, Block 12, Block 11, J J Nagar, Mugappair East, Chennai, Tamil Nadu 600037",Chennai,Tamil nadu,India,641012,20-03-1999,12345,Yes,Yes,no
10013,Chandrahaas,R,Male,20-03-1993,2016 - 2017,Second Standard,S,STD2014,2014,Counselling,Rajesh,Chandrahass@gmail.com,098402 00178,098402 00177,098402 00174,"21, Jawaharlal Nehru Rd, Ottagapalayam, Aruna Colony, Vadapalani, Chennai",Chennai,Tamil nadu,India,641012,20-03-1999,12345,Yes,Yes,no
10014,Charvik,Y,Male,20-03-1993,2016 - 2017,Second Standard,D,STD2015,2015,Counselling,Yawsin,charvik@gmail.com,98417 46590,98417 46591,98417 46592,"no.130/165, valluvar kottam high road,, Near park view hotel, opp to annai therasa womens building, nungambakkam",Chennai,Tamil nadu,India,641012,20-03-1999,12345,Yes,Yes,Yes
10015,Daiwik ,U,Male,20-03-1994,2017 - 2018,First Standard,A,STD2016,2016,Counselling,Ubendra,daiwik@gmail.com,098417 46533,098417 46532,098417 46530,"no.130/165, valluvar kottam high road,, Near park view hotel, opp to annai therasa womens building, nungambakkam",Chennai,Tamil nadu,India,641012,20-03-1999,12345,Yes,Yes,Yes
10016,Darsh,J,Male,20-03-1994,2017 - 2018,First Standard,A,STD2017,2017,Counselling,Jayakumar,Darsh99@gmail.com,99400 22791,99400 22794,098417 46532,"Ground Floor,Gemini Parsn Complex, Kodambakkam High Rd, Chennai, Tamil Nadu 600006",Chennai,Tamil nadu,India,641012,20-03-1999,12345,Yes,Yes,Yes
10017,Ganan,G,Male,20-03-1994,2017 - 2018,First Standard,B,STD2018,2018,Management,Gokul,ganan123@gmail.com,944 406 5006,944 406 5089,944 406 5088,"W-104, Near Roundtana, Plot No. 4673, Second Avenue, West Block, Anna Nagar, Chennai, Tamil Nadu 600040",Chennai,Tamil nadu,India,641012,20-03-1999,12345,Yes,Yes,Yes
10018,Gunalan,H,Male,20-03-1993,2016 - 2017,Second Standard,B,STD2019,2019,Counselling,Harish,gunalan11@gmail.com,96770 32108,96770 32102,96770 32104,"No. 85, Opppsite To Vinayka Temple, 35, Kodambakkam High Road, Badrikari, Tirumurthy Nagar, Nungambakkam",Chennai,Tamil nadu,India,641012,20-03-1999,12345,Yes,Yes,Yes
10019,Hirish,E,Male,20-03-1993,2016 - 2017,Second Standard,B,STD2020,2020,Management,Elango,hirish123@gmail.com,944 4264 1673,944 4264 1666,96770 32100,"No. 85, Opppsite To Vinayka Temple, 35, Kodambakkam High Road, Badrikari, Tirumurthy Nagar, Nungambakkam",Chennai,Tamil nadu,India,641012,20-03-1999,12345,Yes,Yes,Yes
10020,karun,D,Male,20-03-1993,2016 - 2017,Second Standard,B,STD2021,2021,Management,Duruv,karunduruv@gmail.com,88070 00695,88070 00698,88070 00611,"No. 85, Opppsite To Vinayka Temple, 35, Kodambakkam High Road, Badrikari, Tirumurthy Nagar, Nungambakkam",Chennai,Tamil nadu,India,641012,20-03-1999,12345,Yes,Yes,Yes
10021,Aghornath,A,Male,20-03-2003,2016 - 2017,Second Standard,A,STD2022,2022,Management,Arun,Aghornath@gmail.com,9452 437 8555,9452 437 8557,9452 437 8552,"106, Vakkil New Street, Simmakkal",Madurai,Tamil nadu,India,625001,20-03-1999,12345,Yes,Yes,Yes
10022,Aaryan,B,Male,20-03-2002,2015 - 2016,Third Standard,B,STD2023,2023,Counselling,Bala,Aaryan@gmail.com,9452 422 0166,9452 422 0165,9452 422 0169,"Madurai Main, Madurai, Tamil Nadu 625001",Madurai,Tamil nadu,India,625001,20-03-1999,12345,Yes,Yes,Yes
10023,Aadi ,T,Male,20-03-2001,2014 - 2015,Fourth Standard,A,STD2024,2024,Management,Thilak,aadi99@gmail.com,8052 439 3080,8052 439 3081,8052 439 3080,"Rail Marutham Nagar, Madurai Main, Madurai, Tamil Nadu",Madurai,Tamil nadu,India,625001,20-03-1999,12345,Yes,Yes,Yes
10024,Manikyam,J,Male,20-03-2000,2010 - 2011,Fifth Standard,A,STD2025,2025,Counselling,Jagan,manik3333@gmail.com,952 4307 8384,952 4307 8381,952 4307 8382,"24/A, Pechiamman-Padithurai Rd, Simmakal, Madurai, Tamil Nadu 625001",Madurai,Tamil nadu,India,625001,20-03-1999,12345,Yes,Yes,Yes
10025,Adavya ,K,Male,20-03-2004,2017 - 2018,First Standard,B,STD2026,2026,Counselling,Karthik,Adavya@gmail.com,922 437 8384,922 437 8388,922 437 8377,"24/A, Pechiamman-Padithurai Rd, Simmakal, Madurai, Tamil Nadu 625001",Madurai,Tamil nadu,India,625001,20-03-1999,12345,Yes,Yes,Yes
10026,Aveena,H,Female,20-03-2000,2010 - 2011,Fifth Standard,C,STD2027,2027,Counselling,Harish,aveena@199@gmail.com,096988 77786,096988 77787,096988 77789,"100, 4th St, Gandhipuram, Coimbatore, Tamil Nadu ",Coimbatore,Tamil nadu,India,641012,20-03-1999,12345,Yes,Yes,Yes
10027,Aniruddh,K,Male,20-03-2000,2010 - 2011,Fifth Standard,A,STD2028,2028,Counselling,Kathir,aniruddh777@gmail.com,90433 239 68,90433 239 67,90433 239 69,"320, Oppanakara Street, Perianaicken Palayam, Kuniamuthur, Coimbatore, Tamil Nadu 641001",Coimbatore,Tamil nadu,India,641012,20-03-1999,12345,Yes,Yes,Yes
10028,,,,,,,,,,,,,,,,,,,,,,,,,
